# FirmaNimi Service Price & Time List
# Format: service_key = Price_Spec | Est_Time | Eng_Time | Rus_Time | Est_Name | Eng_Name | Rus_Name
# Price_Spec can be a single number (e.g., 15), a range (e.g., 15-30), or a starting price (e.g., 80+)

[services]
tv_diagnostics = 15-30 | 1-2 tundi | 1-2 hours | 1-2 часа | Teleri diagnostika | TV diagnostics | Диагностика телевизора
tv_screen = 80+ | 1-3 päeva | 1-3 days | 1-3 дня | Ekraani vahetus | Screen replacement | Замена экрана
audio_repair = 30+ | 2-4 päeva | 2-4 days | 2-4 дня | Audiotehnika remont | Audio repair | Ремонт аудиоаппаратуры
dvd_bluray = 25-50 | 1-2 päeva | 1-2 days | 1-2 дня | DVD/Blu-ray remont | DVD/Blu-ray repair | Ремонт DVD/Blu-ray
remote_control = 10 | 30-60 minutit | 30-60 minutes | 30-60 минут | Puldi parandus | Remote control repair | Ремонт пультов
board_repair = 45+ | 1-2 päeva | 1-2 days | 1-2 дня | Emaplaadi jootmine | Motherboard soldering | Пайка материнской платы
lamp_repair = 15+ | 1-2 päeva | 1-2 days | 1-2 дня | Lampide remont | Lamp repair | Ремонт светильников и ламп
hifi_repair = 40+ | 3-5 päeva | 3-5 days | 3-5 дней | Hi-Fi seadmete remont | Hi-Fi equipment repair | Ремонт Hi-Fi аппаратуры
turntable_calibration = 50-100 | 1-2 päeva | 1-2 days | 1-2 дня | Vinüülplaadimängija kalibreerimine | Turntable calibration & setup | Настройка и калибровка виниловых проигрывателей
tube_amp_recapping = 150+ | 3-7 päeva | 3-7 days | 3-7 дней | Lambivõimendi kondensaatorite vahetus (Recap) | Tube amplifier recapping & tuning | Рекапинг и настройка ламповых усилителей
crossover_matching = 90+ | 2-4 päeva | 2-4 days | 2-4 дня | Kõlarite filtrite häälestamine ja parandus | Speaker crossover matching & upgrade | Подбор и апгрейд кроссоверов акустики
